module_number,module_name,description
1710408,Architekturtheorie: Material Geschichten,
1710417,Architekturtheorie: Women Build Baden Württemberg!,
1710452,a*komm on-site: Paris. The Image of a City (with Excursion),
1741314,Art History: History Painting in the Early Modern Period,
1741321,Beginnings to the Present Day,
1741325,Art History: Painting meets photography: The work of artist Gerhard Richter,
1741322,Art History: Exhibition Stories/Histories: Epoch-Making Art Exhibitions,
1741391,Digital Tools and Methods: History of Architecture/Urban Planning: DESIGN,
1741385,Environmental History of Architecture: History of Architecture/Urban,
1741387,History of Cultural Landscapes: History of Architecture/Urban Planning: The,
1741384,Architecture and the City in Film: History of Architecture/Urban Planning:,
1731097,Urban Typologies: Architecture Journalism Workshop: We Write About,
1731172,City Theory/Research Seminar: Mapping Hambach. Identities in Transition,
1731282,Urban Design and Housing: Architecture of Living,
1731215,Landscape Typologies: Great Gardens II,
1700050,Preparation Master's Thesis,
1700055,Doctoral Colloquium,
1720606,Research Seminar: LOAM +,
1720611,Research Seminar/Sustainability: Systemic Balance in Habitat Making:,
1720709,Research seminar: Artificial Intelligence in Architecture (von Both),
1720977,Research Fields: Faculty of Architecture Reloaded,
1731095,Research Seminar/Special Topics of Urban Design: Visibility Studies in the,
1731180,Research Seminar: "Future Cities - Digital Spaces",
1731220,Research Seminar: Latent Habitat,
1720809,Freie Studienarbeit: Designing Robotic Workflows for Circular Construction in,
1720980,nach Vereinbarung,
1741390,Project (PRO),
1700054,Independent Student Research Project,
1720506,Transformation of Storchenturm Denzlingen - Transformation of a former,
1720557,Planning and Constructing: BAUWENDE RINGVORLESUNG,
1720616,Project Management,
1720558,Planning and Constructing: SIRCULAR - CIRCULAR BUILDING WITH RECLAIMED,
1720703,Integral Planning - Method-based Design (von Both),
1720704,Virtual Engineering: How to BIM (von Both),
1720707,In-depth topics: BIM Coding (von Both),
1720710,Sondergebiete BLM: BIM - Introduction to the Principles (von Both),
1720755,Interdisciplinary Design of Timber Structures: Cycle in Circles,
1720763,Design to Built: My City Lounge @Kronenplatz,
1720850,Professional Detailled Planning,
1720970,Energy and Indoor Climate Concepts,
1720990,we Heat a Success?,
1731272,Special Topics of Urban Design: The Big Catalog,
1741388,Applied Monument Preservation: History of Architecture/Urban Planning: :,
1741392,History and Theory of Monument care: History of Architecture/Urban,
1741393,Complexes _ The Tension Between Preservation and Renovation,
1741394,Kreuztal Monastery,
6072204,Photogrammetry of Architecture,
1700049,Office Hospitation,
1710411,Theory of Architecture: Digital Dependencies,
1800002,Lecture: Light,
1800003,Lecture: Art and Labor,
1800009,Seminar: Methods of Art History with Tutorial,
1800029,Tutorial for the Seminar Methods of Art History,
1800013,Seminar: The Dream of Flying,
1800004,Seminar: Attacked Images: Iconoclasm,
1800008,Seminar: Exhibition Stories/Histories: Epoch-Making Art Exhibitions,
1800012,Seminar: Tendenzen. The Story of an Art Magazine,
1800011,Seminar: History Painting in the Early Modern Period,
1800016,Seminar: Children Represented in Art,
1800015,Seminar: The ZKM and Its Collection: A Seminar on the Exhibition The Story That,
1800018,Seminar: Painting Meets Photography: The Work of Artist Gerhard Richter,
1800006,to the Present Day,
1800014,Seminar: New Objectivity: The Art of the Weimar Republic,
1800023,Seminar: Tartarus: Pagan and Christian Images of the Afterlife in Early Modern,
1800010,Practical Course Text 2,
1800026,Practical Course: Screen Printing,
1800033,Excursion: Artists’ Colony in the Moor: Worpswede,
1800028,Day excursion: AI in Art at the Schirn Kunsthalle,
1800005,Day Excursion: New Objectivity and modern life at the Kunsthalle Mannheim,
1800019,Day Excursion: Art of the Weimar Republic at the Lenbachhaus,
1800022,Colloquium (KOL),
1731200,Sprechstunde Prof. Schifferli,
1720800,Consultation Tenure-Track Prof. Dörstelmann,
1720600,Sprechstunde Prof. Hebel,
1720550,Consultation date Prof. Klinge,
1710200,Consultation Prof. Bru,
1800103,Sprechstunde apl. Prof. Dr. Papenbrock,
1710456,Consultation Prof. Dr. Rambow,
1720950,Sprechstunde Prof. Andreas Wagner,
1720500,Consultation date Prof. Dennis Mueller,
1720760,Structural Consultation - Design of Structures,
1720650,Consultation hour TT. Prof. Kaiser,
0181300,Advanced Mathematics 2 for the Functional Direction Civil Engineering:,
0181400,Practice to Advanced Mathematics 2 for the Functional Direction Civil,
0181500,Supplement to Advanced Mathematics 2 for the Course of Studies Civil,
0198135,Tutorial to Advanced Mathematics 2 for the Functional Direction Civil,
6200201,Strength of Materials,
6200202,Exercises to Strength of Materials,
6200203,Tutorials Technical Mechanics,
6200204,Applied Statistics,
6200207,Weitere Termine werden in der Vorlesung Baustoffkunde zu Beginn des,
6340101,Geology in Civil Engineering,
6200401,Structural Analysis I,
6200402,Exercises to Structural Analysis I,
6200403,Tutorials Structural Analysis I,
6200404,Spatial Planning and Planning Law,
6200405,Exercises to Spatial Planning and Planning Law,
6200406,Transportation Systems,
6200407,Exercises to Transportation Systems,
6200408,Design Basics in Highway Engineering,
6200409,Exercises to Design Basics in Highway Engineering,
6200410,Construction Technology,
6200411,Exercises to Construction Technology,
6200412,Construction Management,
6200413,Exercises Construction Management,
6200414,Facility and Real Estate Management,
6200415,Basics in Soil Mechanics,
6200416,Exercises to Basics in Soil Mechanics,
6200417,Tutorials to Basics in Soil Mechanics,
0181600,Advanced Mathematics 4 for the Functional Direction Civil Engineering:,
0181700,Exercises to Advanced Mathematics 4 for the Functional Direction Civil,
6200421,Introduction to Continuum Mechanics,
6200422,Introduction to Programming for Civil Engineers II,
6200423,Exercises Introduction to Programming for Civil Engineers II,
6200424,Research Training: Future Technologies in Concrete Construction,
6200601,Basics of Reinforced Concrete II,
6200603,Water Supply and Sanitation,
6200609,Physical Modelling in Hydraulic Engineering,
6200613,Project 'Plan,
6200615,Life Cycle Management,
6200617,Engineering Hydrology,
6200419,Consultation Hour for Research Project on Transportation Systems,
6200420,Consultation Hour for Research Project on Highway Engineering,
6200315,Others (sonst.),
6212801,Steel and Steel Composite Construction,
6212802,Exercises Steel and Steel Composite Construction,
6221701,Advanced Fluid Mechanics,
6222701,River Engineering,
6222703,Design of Hydraulic Structures,
6232801,Assessment and Decision-making Process,
6233801,Design and Construction of Roads,
6233802,Operation and Maintenance of Roads,
6233803,Laws Concerning Traffic and Roads,
6233804,Environmental Sustainability of Roads,
6241801,Site Management,
6241803,Site Planning and Handling,
6242801,Sustainability in Real Estate Management,
6242803,Life Cycle Management of Real Estate,
6251801,Theoretical Soil Mechanics,
6251804,Rock Mechanics and Rock Construction Underground,
6211801,Reinforcement and Stability in Reinforced Concrete Construction,
6211802,Exercises Reinforcement and Stability in Reinforced Concrete Construction,
6211803,Basics of Prestressed Concrete,
6211804,Exercises of Basics Prestressed Concrete,
6211812,Exercises to Protection,
6211814,Practical Noise Control,
6211815,Practical Fire Protection,
6211816,Chemistry of Interfaces,
6211817,Exercises for Chemistry of Interfaces,
6211818,Sustainable Construction,
6212803,Material Science,
6212805,Construction of Steel and Composite Bridges,
6212806,Exercises Construction of Steel and Composite Bridges,
6212808,Innovations and Developments in Metal and Lightweight Structures,
6213801,Timber Structures,
6213802,Exercises to Timber Structures,
6213803,Interdisciplinary Structural Development in Timber Construction,
6214801,Computational Analysis of Structures,
6214802,Exercises to Computational Analysis of Structures,
6214803,FE-Applications in Practical Engineering,
6214805,Shell Structures,
6214806,Exercises Shell Structures,
6214807,Stability of Structures,
6214808,Exercises Stability of Structures,
6214809,Structural Analysis with Uncertain Data,
6214810,Artificial Neural Networks in Structural Analysis,
6214811,Structural Optimization,
6215801,Material Models in Solid Mechanics,
6215802,Exercises to Material Models in Solid Mechanics,
6215813,Micromechanics of Heterogeneous Solids,
6215807,Modeling in Strength of Materials,
6215808,Finite Elements in Solid Mechanics,
6215809,Exercises Finite Elements in Solid Mechanics,
6215810,Numerical Structural Dynamics,
6215811,Wave Propagation in Solids,
6215909,Contact Mechanics,
6215911,Basics Experimental Solid Mechanics,
6221801,Groundwater Hydraulics,
6221802,Experiments in Fluid Mechanics,
6221806,Fluid Mechanics of Turbulent Flows,
6221807,Parallel Programming Techniques for Engineering Problems,
6221809,Numerical Fluid Mechanics II,
6221817,Interaction Flow - Sediment Bed and Subsurface,
6222801,Hydro Power Engineering,
6222803,Waterway Engineering,
6222805,Landscape and River Morphology,
6222807,Transport Processes in Rivers,
6223812,Mass Fluxes in River Basins,
6223813,Applied Ecology and Water Quality,
6223814,Field Training Water Quality,
6223815,Stormwater Management,
6223816,Modelling Wastewater Treatment Processes,
6224801,Integrated Design Project in Water Resources Management,
6224803,Surface and Subsurface Contaminant Transport: From Processes to Numerical,
6224807,Hydrological Measurements in Environmental Systems,
6224905,Environmental Communication,
6224912,Deep Learning in Hydrological Modeling,
6231806,History of Urban Planning,
6232802,Traffic Management and Telematics,
6232804,Traffic Simulation,
6232806,Properties of Means of Transport,
6232808,Strategic Traffic Planning,
6232809,Freight Transport,
6232811,Mobility Services and New Forms of Mobility,
6232812,Interdisciplinary Design,
6232903,Seminar on Transportation Systems,
6233906,Safety Management in Highway Engineering,
6233908,Seminar on Highway Engineering,
6241805,Leadership and Communication,
6241808,Turnkey Construction,
6241810,Civil Engineering Structures and Regenerative Energies,
6241814,Research Seminar Construction Management I,
6241816,Seminar Construction Machinery,
6241817,Lean Integrated Project Delivery,
6242804,Real Estate und Facility Management – on site lectures,
6243801,Project Studies,
6243803,Dismantling Techniques,
6244801,Digital Technologies in Field Information Modeling,
6251808,Soil Mechanical Laboratory Exercises,
6251809,Geomechanical Field Exercise,
6251810,Foundations and Retaining Structures,
6251812,Special Foundation Engineering and Design,
6251814,Geotechnical Ground Water Problems,
6251816,Embankment Dams (Advanced),
6251818,Exercises in Numerical Modelling,
6251819,FEM Applications in Geotechnical Modelling,
6251820,Ground Improvement,
6211812,Exercises to Protection,
1731203,Basics of Urban Planning: Interfaces of Urban and Landscape Architectural Culture,
2115919,Rail System Technology,
2115996,Rail Vehicle Technology,
2424638,Algorithmen für Routenplanung (mit Übungen),
2560230,Transport Economics,
2560231,Übung zu Transportökonomie,
2118078,Logistics and Supply Chain Management,
2110046,Productivity Management in Production Systems,
2150660,Integrated Production Planning in the Age of Industry 4.0,
2545001,VL findet jeweils Di,
2545008,Design Thinking (Track 1),
2581950,Fundamentals of Production Management,
2581951,Übungen Grundlagen der Produktionswirtschaft,
2581996,Logistics and Supply Chain Management,
2158201,Technical energy systems for buildings 2: System concepts,
2121357,PLM-CAD Workshop,
2122303,Business Administration for Engineers and IT professionals,
2123352,IoT platform for engineering,
2511010,Foundations of Informatics I,
2511011,Exercises to Foundations of Informatics I,
2511020,Advanced Programming - Java Network Programming,
2511021,Übungen zu Programmierung kommerzieller Systeme - Anwendungen in Netzen,
2511023,Rechnerpraktikum zu Programmierung kommerzieller Systeme - Anwendungen,
2511200,Applied Informatics - Database Systems,
2511201,Exercises Applied Informatics - Database Systems,
2511550,Applied Informatics – Cybersecurity,
2511551,Exercise Applied Informatics – Cybersecurity,
2595468,Digital Services: Innovation & Business Models,
0187400,Numerische Mathematik für die Fachrichtungen Informatik und Ingenieurwesen,
0187500,Übungen zu Numerische Mathematik für die Fachrichtungen Informatik und,
0188100,Probability and Statistics,
2233010,Membrane Technologies in Water Treatment,
2233020,Industrial Wastewater Treatment,
2233130,Circular Economy Water Energy Environment: Research Proposal Preparation,
2233820,Biofilm Systems,
